Annee_scolaire;Academie;Numero_d_etablissement;nom_etablissement;Type_d_etablissement;Secteur_d_enseignement;Nombre_d_eleves;libelle_region;libelle_departement;Code_departement;adresse;code_postal;localite_acheminement;Code_region
2016-2017;RENNES;0350807M;LYCEE PROF PRIVE DES METIERS NOTRE DAME;LYCEE PROFESSIONNEL;Privé;229;BRETAGNE;ILLE-ET-VILAINE;035;RUE DE DINAN;35290;ST MEEN LE GRAND;53
2016-2017;RENNES;0350848G;COLLEGE PRIVE ST ANDRE;COLLEGE;Privé;172;BRETAGNE;ILLE-ET-VILAINE;035;7 RUE ABBE JARRY;35560;ANTRAIN;53
2016-2017;RENNES;0350849H;COLLEGE PRIVE LA SALLE ST JOSEPH;COLLEGE;Privé;610;BRETAGNE;ILLE-ET-VILAINE;035;54 rue ALAIN D'ARGENTRE;35370;ARGENTRE DU PLESSIS;53
2016-2017;RENNES;0350852L;COLLEGE PRIVE ST JOSEPH;COLLEGE;Privé;1115;BRETAGNE;ILLE-ET-VILAINE;035;3 AVENUE ALPHONSE LEGAULT;35171;BRUZ CEDEX;53
2016-2017;RENNES;0350855P;COLLEGE PRIVE STE CROIX;COLLEGE;Privé;524;BRETAGNE;ILLE-ET-VILAINE;035;3  RUE DU PRIEURE;35410;CHATEAUGIRON;53
2016-2017;RENNES;0350859U;COLLEGE PRIVE STE MARIE;COLLEGE;Privé;378;BRETAGNE;ILLE-ET-VILAINE;035;18 RUE ST J-B DE LA SALLE;35801;DINARD CEDEX;53
2016-2017;RENNES;0350874K;COLLEGE PRIVE ST YVES;COLLEGE;Privé;600;BRETAGNE;ILLE-ET-VILAINE;035;3 RUE JEANNE D'ARC;35310;MORDELLES;53
2016-2017;RENNES;0350883V;COLLEGE PRIVE JEANNE D'ARC;COLLEGE;Privé;381;BRETAGNE;ILLE-ET-VILAINE;035;26  RUE DE FOUGERES;35460;ST BRICE EN COGLES;53
2016-2017;RENNES;0350897K;COLLEGE ROBERT SURCOUF;COLLEGE;Public;242;BRETAGNE;ILLE-ET-VILAINE;035;19  RUE DE LA CHAUSSEE;35405;ST MALO CEDEX;53
2016-2017;RENNES;0350969N;COLLEGE BELLEVUE;COLLEGE;Public;493;BRETAGNE;ILLE-ET-VILAINE;035;2 rue DE BELLEVUE;35602;REDON CEDEX;53
2016-2017;RENNES;0351847T;COLLEGE GEORGES BRASSENS;COLLEGE;Public;825;BRETAGNE;ILLE-ET-VILAINE;035;Rue GEORGES BRASSENS;35651;LE RHEU CEDEX;53
2016-2017;RENNES;0351851X;COLLEGE LA BINQUENAIS;COLLEGE;Public;402;BRETAGNE;ILLE-ET-VILAINE;035;40  BOULEVARD OSCAR LEROUX;35203;RENNES CEDEX 2;53
2016-2017;RENNES;0351852Y;COLLEGE DE FONTENAY;COLLEGE;Public;596;BRETAGNE;ILLE-ET-VILAINE;035;RUE ANTOINE CHATEL;35176;CHARTRES DE BRETAGNE CED;53
2016-2017;RENNES;0351906G;COLLEGE BOURGCHEVREUIL;COLLEGE;Public;661;BRETAGNE;ILLE-ET-VILAINE;035;1 BOULEVARD DES METAIRIES;35513;CESSON SEVIGNE CEDEX;53
2016-2017;RENNES;0351907H;LYCEE GENERAL ET TECHNOLOGIQUE RENE DESCARTES;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;Public;1275;BRETAGNE;ILLE-ET-VILAINE;035;CHEMIN DE RONDE;35207;RENNES CEDEX 2;53
2016-2017;RENNES;0352030S;COLLEGE MORVAN LEBESQUE;COLLEGE;Public;699;BRETAGNE;ILLE-ET-VILAINE;035;34 avenue BEAUSEJOUR;35310;MORDELLES;53
2016-2017;RENNES;0352235P;LYCEE GENERAL ET TECHNOLOGIQUE RENE CASSIN;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;Public;946;BRETAGNE;ILLE-ET-VILAINE;035;2   LES BATAILLES;35162;MONTFORT SUR MEU CEDEX;53
2016-2017;RENNES;0352260S;COLLEGE FRANCOIS TRUFFAUT;COLLEGE;Public;525;BRETAGNE;ILLE-ET-VILAINE;035;Rue DE LA RABINE;35830;BETTON;53
2016-2017;RENNES;0352267Z;ECOLE PRIVEE COIF ESTHETIQUE L'ACADEMY;LYCEE PROFESSIONNEL;Privé;45;BRETAGNE;ILLE-ET-VILAINE;035;24  BOULEVARD SOLFERINO;35000;RENNES;53
2016-2017;RENNES;0352589Z;COLLEGE JEAN MOULIN;COLLEGE;Public;360;BRETAGNE;ILLE-ET-VILAINE;035;PLACE LEOPOLD SEDAR SENGHOR;35136;ST JACQUES DE LA LANDE;53
2016-2017;RENNES;0352760K;COLLEGE GERMAINE TILLION;COLLEGE;Public;624;BRETAGNE;ILLE-ET-VILAINE;035;-;35520;LA MEZIERE;53
2016-2017;RENNES;0352867B;SECTION ENSEIGNT GEN.ET TECHNO LEGTA T. MONOD LE RHEU;SECTION ENSEIGT GENERAL ET TECHNOLOGIQUE;Public;528;BRETAGNE;ILLE-ET-VILAINE;035;55  AVENUE DE LA BOUVARDIERE;35651;LE RHEU CEDEX;53
2015-2016;RENNES;0350002M;COLLEGE PIERRE BROSSOLETTE;COLLEGE;Public;766;BRETAGNE;ILLE-ET-VILAINE;035;18 RUE THEODORE BOTREL;35171;BRUZ CEDEX;53
2015-2016;RENNES;0350028R;LYCEE GENERAL ET TECHNOLOGIQUE BREQUIGNY;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;Public;2674;BRETAGNE;ILLE-ET-VILAINE;035;7 AVENUE GEORGES GRAFF;35205;RENNES CEDEX 2;53
2015-2016;RENNES;0350052S;COLLEGE PIERRE PERRIN;COLLEGE;Public;232;BRETAGNE;ILLE-ET-VILAINE;035;7  RUE DE LA LIBERATION;35460;TREMBLAY;53
2015-2016;RENNES;0350057X;COLLEGE JACQUES PREVERT;COLLEGE;Public;542;BRETAGNE;ILLE-ET-VILAINE;035;RUE RENE CUTTE;35850;ROMILLE;53
2015-2016;RENNES;0350760L;COLLEGE CLEUNAY;COLLEGE;Public;363;BRETAGNE;ILLE-ET-VILAINE;035;26 RUE ANDREE RECIPON;35000;RENNES;53
2015-2016;RENNES;0350774B;LYCEE GEN ET TECHNOL PRIVE ST SAUVEUR;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;Privé;897;BRETAGNE;ILLE-ET-VILAINE;035;16 PLACE ST SAUVEUR;35603;REDON CEDEX;53
2015-2016;RENNES;0350785N;COLLEGE PRIVE DE MOKA;COLLEGE;Privé;379;BRETAGNE;ILLE-ET-VILAINE;035;4 AVENUE ARISTIDE BRIAND;35401;ST MALO CEDEX;53
2015-2016;RENNES;0350791V;LYC POLYVAL PRIVE des METIERS MARCEL CALLO;LYCEE POLYVALENT;Privé;881;BRETAGNE;ILLE-ET-VILAINE;035;21 AVENUE ETIENNE GASCON;35603;REDON CEDEX;53
2015-2016;RENNES;0350795Z;LYC POLYVAL PRIVE des METIERS DE LA SALLE;LYCEE POLYVALENT;Privé;1082;BRETAGNE;ILLE-ET-VILAINE;035;5 RUE DE LA MOTTE BRULON;35706;RENNES CEDEX 7;53
2015-2016;RENNES;0350807M;LYCEE PROF PRIVE DES METIERS NOTRE DAME;LYCEE PROFESSIONNEL;Privé;248;BRETAGNE;ILLE-ET-VILAINE;035;RUE DE DINAN;35290;ST MEEN LE GRAND;53
2015-2016;RENNES;0350851K;COLLEGE PRIVE ST JOSEPH;COLLEGE;Privé;984;BRETAGNE;ILLE-ET-VILAINE;035;6  RUE DE L'HOTEL DE VILLE;35470;BAIN DE BRETAGNE;53
2015-2016;RENNES;0350853M;COLLEGE PRIVE ST JOSEPH;COLLEGE;Privé;290;BRETAGNE;ILLE-ET-VILAINE;035;4 RUE DU HOCK;35260;CANCALE;53
2015-2016;RENNES;0350855P;COLLEGE PRIVE STE CROIX;COLLEGE;Privé;519;BRETAGNE;ILLE-ET-VILAINE;035;3  RUE DU PRIEURE;35410;CHATEAUGIRON;53
2015-2016;RENNES;0350859U;COLLEGE PRIVE STE MARIE;COLLEGE;Privé;379;BRETAGNE;ILLE-ET-VILAINE;035;18 RUE ST J-B DE LA SALLE;35801;DINARD CEDEX;53
2015-2016;RENNES;0350863Y;COLLEGE PRIVE ST JOSEPH;COLLEGE;Privé;541;BRETAGNE;ILLE-ET-VILAINE;035;6 RUE JEAN DE LA MENNAIS;35130;LA GUERCHE DE BRETAGNE;53
2015-2016;RENNES;0350866B;COLLEGE PRIVE ST JOSEPH;COLLEGE;Privé;709;BRETAGNE;ILLE-ET-VILAINE;035;45 RUE PAUL PAINLEVE;35150;JANZE;53
2015-2016;RENNES;0350874K;COLLEGE PRIVE ST YVES;COLLEGE;Privé;558;BRETAGNE;ILLE-ET-VILAINE;035;3 RUE JEANNE D'ARC;35310;MORDELLES;53
2015-2016;RENNES;0350882U;COLLEGE PRIVE STE ANNE;COLLEGE;Privé;261;BRETAGNE;ILLE-ET-VILAINE;035;2 RUE DU BOURG AU LOUP;35140;ST AUBIN DU CORMIER;53
2015-2016;RENNES;0350883V;COLLEGE PRIVE JEANNE D'ARC;COLLEGE;Privé;371;BRETAGNE;ILLE-ET-VILAINE;035;26  RUE DE FOUGERES;35460;ST BRICE EN COGLES;53
2015-2016;RENNES;0350885X;COLLEGE PRIVE JULIEN MAUNOIR;COLLEGE;Privé;175;BRETAGNE;ILLE-ET-VILAINE;035;6 RUE DE LA FIEFFE;35420;ST GEORGES DE REINTEMBAU;53
2015-2016;RENNES;0350897K;COLLEGE ROBERT SURCOUF;COLLEGE;Public;269;BRETAGNE;ILLE-ET-VILAINE;035;19 RUE DE LA CHAUSSEE;35405;ST MALO CEDEX;53
2015-2016;RENNES;0350963G;COLLEGE DES HAUTES OURMES;COLLEGE;Public;415;BRETAGNE;ILLE-ET-VILAINE;035;7  AVENUE DE POLOGNE;35204;RENNES CEDEX 2;53
2015-2016;RENNES;0350965J;COLLEGE LE LANDRY;COLLEGE;Public;549;BRETAGNE;ILLE-ET-VILAINE;035;29  AVENUE DE CORK;35207;RENNES CEDEX 2;53
2015-2016;RENNES;0350969N;COLLEGE BELLEVUE;COLLEGE;Public;527;BRETAGNE;ILLE-ET-VILAINE;035;2 RUE DE BELLEVUE;35602;REDON CEDEX;53
2015-2016;RENNES;0351791G;COLLEGE LOUIS GUILLOUX;COLLEGE;Public;852;BRETAGNE;ILLE-ET-VILAINE;035;BOULEVARD PASTEUR;35162;MONTFORT SUR MEU CEDEX;53
2015-2016;RENNES;0351851X;COLLEGE LA BINQUENAIS;COLLEGE;Public;376;BRETAGNE;ILLE-ET-VILAINE;035;40 BOULEVARD OSCAR LEROUX;35203;RENNES CEDEX 2;53
2015-2016;RENNES;0351852Y;COLLEGE DE FONTENAY;COLLEGE;Public;600;BRETAGNE;ILLE-ET-VILAINE;035;RUE ANTOINE CHATEL;35176;CHARTRES DE BRETAGNE CED;53
2015-2016;RENNES;0351882F;COLLEGE LA ROCHE AUX FEES;COLLEGE;Public;516;BRETAGNE;ILLE-ET-VILAINE;035;RUE ANATOLE LE BRAZ;35240;RETIERS;53
2015-2016;RENNES;0352030S;COLLEGE MORVAN LEBESQUE;COLLEGE;Public;697;BRETAGNE;ILLE-ET-VILAINE;035;34  AVENUE BEAUSEJOUR;35310;MORDELLES;53
2015-2016;RENNES;0352071L;COLLEGE PRIVE STE THERESE;COLLEGE;Privé;181;BRETAGNE;ILLE-ET-VILAINE;035;27  RUE SULLY PRUDHOMME;35067;RENNES CEDEX;53
2015-2016;RENNES;0352248D;COLLEGE VICTOR SEGALEN;COLLEGE;Public;649;BRETAGNE;ILLE-ET-VILAINE;035;34  RUE JULES FERRY;35410;CHATEAUGIRON;53
2015-2016;RENNES;0352267Z;ECOLE PRIVEE COIF ESTHETIQUE L'ACADEMY;LYCEE PROFESSIONNEL;Privé;48;BRETAGNE;ILLE-ET-VILAINE;035;24 BOULEVARD SOLFERINO;35000;RENNES;53
2015-2016;RENNES;0352760K;COLLEGE GERMAINE TILLION;COLLEGE;Public;628;BRETAGNE;ILLE-ET-VILAINE;035;-;35520;LA MEZIERE;53
2019-2020;RENNES;0350003N;COLLEGE RENE CASSIN;COLLEGE;Public;400;BRETAGNE;ILLE-ET-VILAINE;035;1 rue Pierre-de-Coubertin;35260;CANCALE;53
2019-2020;RENNES;0350026N;LYCEE GENERAL ET TECHNOLOGIQUE JEAN MACE;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;Public;1012;BRETAGNE;ILLE-ET-VILAINE;035;10 rue JEAN MACE;35704;RENNES CEDEX 7;53
2019-2020;RENNES;0350028R;LYCEE GENERAL ET TECHNOLOGIQUE BREQUIGNY;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;Public;2794;BRETAGNE;ILLE-ET-VILAINE;035;7 avenue GEORGES GRAFF;35205;RENNES CEDEX 2;53
2019-2020;RENNES;0350048M;LYCEE POLYVALENT JACQUES CARTIER;LYCEE POLYVALENT;Public;1274;BRETAGNE;ILLE-ET-VILAINE;035;31  RUE DE LA BALUE;35418;ST MALO CEDEX;53
2019-2020;RENNES;0350051R;COLLEGE THEOPHILE BRIANT;COLLEGE;Public;666;BRETAGNE;ILLE-ET-VILAINE;035;21 avenue DES TRENTE;35190;TINTENIAC;53
2019-2020;RENNES;0350057X;COLLEGE JACQUES PREVERT;COLLEGE;Public;590;BRETAGNE;ILLE-ET-VILAINE;035;Rue RENE CUTTE;35850;ROMILLE;53
2019-2020;RENNES;0350710G;LYCEE GENERAL FRANCOIS RENE DE CHATEAUBRIAND;LYCEE D ENSEIGNEMENT GENERAL;Public;2002;BRETAGNE;ILLE-ET-VILAINE;035;136 boulevard DE VITRE;35703;RENNES CEDEX 7;53
2019-2020;RENNES;0350734H;COLLEGE LES CHALAIS;COLLEGE;Public;461;BRETAGNE;ILLE-ET-VILAINE;035;25 avenue DU CANADA;35201;RENNES CEDEX 2;53
2019-2020;RENNES;0350759K;COLLEGE ECHANGE;COLLEGE;Public;489;BRETAGNE;ILLE-ET-VILAINE;035;30 rue DE DINAN;35102;RENNES CEDEX 3;53
2019-2020;RENNES;0350790U;LYCEE PROFESSIONNEL PRIVE NOTRE DAME;LYCEE PROFESSIONNEL;Privé;381;BRETAGNE;ILLE-ET-VILAINE;035;6 RUE DE VANNES;35601;REDON CEDEX;53
2019-2020;RENNES;0350793X;LYCEE POLYVALENT PRIVE FREDERIC OZANAM;LYCEE POLYVALENT;Privé;1372;BRETAGNE;ILLE-ET-VILAINE;035;99 rue DE LA CHALOTAIS;35577;CESSON SEVIGNE CEDEX;53
2019-2020;RENNES;0350805K;ECOLE TECHNIQUE PRIVEE CHANTAL LE COZIC;LYCEE PROFESSIONNEL;Privé;143;BRETAGNE;ILLE-ET-VILAINE;035;52  BOULEVARD VILLEBOIS MAREUIL;35000;RENNES;53
2019-2020;RENNES;0350808N;LYC POLYVAL PRIVE DES METIERS STE JEANNE D'ARC;LYCEE POLYVALENT;Privé;1024;BRETAGNE;ILLE-ET-VILAINE;035;13 place de la République;35503;VITRE CEDEX;53
2019-2020;RENNES;0350849H;COLLEGE PRIVE LA SALLE ST JOSEPH;COLLEGE;Privé;610;BRETAGNE;ILLE-ET-VILAINE;035;54 rue ALAIN D'ARGENTRE;35370;ARGENTRE DU PLESSIS;53
2019-2020;RENNES;0350868D;COLLEGE PRIVE ST JOSEPH;COLLEGE;Privé;278;BRETAGNE;ILLE-ET-VILAINE;035;24 rue COURBE;35640;MARTIGNE FERCHAUD;53
2019-2020;RENNES;0350875L;COLLEGE PRIVE ST JOSEPH;COLLEGE;Privé;393;BRETAGNE;ILLE-ET-VILAINE;035;19 rue Pasteur;35550;PIPRIAC;53
2019-2020;RENNES;0350883V;COLLEGE PRIVE JEANNE D'ARC;COLLEGE;Privé;422;BRETAGNE;ILLE-ET-VILAINE;035;26 rue DE FOUGERES;35460;MAEN ROCH;53
2019-2020;RENNES;0350895H;COLLEGE ROSA PARKS;COLLEGE;Public;547;BRETAGNE;ILLE-ET-VILAINE;035;10  RUE DE GASCOGNE;35000;RENNES;53
2019-2020;RENNES;0351791G;COLLEGE LOUIS GUILLOUX;COLLEGE;Public;755;BRETAGNE;ILLE-ET-VILAINE;035;Boulevard Pasteur;35162;MONTFORT SUR MEU CEDEX;53
2019-2020;RENNES;0351852Y;COLLEGE DE FONTENAY;COLLEGE;Public;594;BRETAGNE;ILLE-ET-VILAINE;035;Rue ANTOINE CHATEL;35176;CHARTRES DE BRETAGNE CEDEX;53
2019-2020;RENNES;0352008T;COLLEGE LES ROCHERS SEVIGNE;COLLEGE;Public;377;BRETAGNE;ILLE-ET-VILAINE;035;1 allée PIERRE DE GENNES;35506;VITRE CEDEX;53
2019-2020;RENNES;0352030S;COLLEGE MORVAN LEBESQUE;COLLEGE;Public;688;BRETAGNE;ILLE-ET-VILAINE;035;34 avenue BEAUSEJOUR;35310;MORDELLES;53
2019-2020;RENNES;0352070K;COLLEGE PRIVE ASSOMPTION;COLLEGE;Privé;975;BRETAGNE;ILLE-ET-VILAINE;035;18 boulevard PAUL PAINLEVE;35706;RENNES CEDEX 7;53
2019-2020;RENNES;0352072M;LYC POLYVAL PRIVE INSTITUTION ST MALO-PROVIDENCE;LYCEE POLYVALENT;Privé;1376;BRETAGNE;ILLE-ET-VILAINE;035;2 rue du Collège;35418;ST MALO CEDEX;53
